,funds_rate,oil_price,CPI,GS3,unemployment_rate,GDP,economic_growth_rate
1947-01-01,,,,,,242.22933333333333,
1947-02-01,,,,,,243.164,0.38586023162622385
1947-03-01,,,,,,244.09866666666665,0.3843770733606364
1947-04-01,,,,,,245.03333333333333,0.3829052732774806
1947-05-01,,,,,,245.968,0.3814447014011663
1947-06-01,,,,,,247.17366666666666,0.49017216331663993
1947-07-01,,,,,,248.37933333333334,0.48778119567753564
1947-08-01,,,,,,249.585,0.48541344019497307
1947-09-01,,,,,,252.97166666666666,1.3569191524597455
1947-10-01,,,,,,256.35833333333335,1.3387533518246515
1947-11-01,,,,,,259.745,1.3210675161720207
1947-12-01,,,,,,261.744,0.7696009547825843
1948-01-01,,,,,3.4,263.743,0.7637233327220363
1948-02-01,,,,,3.8,265.742,0.757934807748461
1948-03-01,,,,,4.0,268.017,0.8560935042258947
1948-04-01,,,,,3.9,270.29200000000003,0.8488267535268412
1948-05-01,,,,,3.5,272.567,0.8416823287407607
1948-06-01,,,,,3.6,274.7766666666667,0.8106875251467315
1948-07-01,,,,,3.6,276.98633333333333,0.8041682335957571
1948-08-01,,,,,3.9,279.196,0.7977529577271653
1948-09-01,,,,,3.8,279.586,0.13968681499734464
1948-10-01,,,,,3.7,279.976,0.13949196311688938
1948-11-01,,,,,3.8,280.366,0.13929765408463096
1948-12-01,,,,,4.0,278.58866666666665,-0.6339332634247132
1949-01-01,,,,,4.3,276.8113333333333,-0.637977615744119
1949-02-01,,,,,4.7,275.034,-0.6420739035251439
1949-03-01,,,,,5.0,273.8063333333333,-0.44636905497744434
1949-04-01,,,,,5.3,272.57866666666666,-0.44837044188166975
1949-05-01,,,,,6.1,271.351,-0.450389856873122
1949-06-01,,,,,6.2,271.8636666666667,0.18893118752711038
1949-07-01,,,,,6.7,272.3763333333333,0.1885749107089089
1949-08-01,,,,,6.8,272.889,0.1882199750590259
1949-09-01,,,,,6.6,272.135,-0.27630281909495036
1949-10-01,,,,,7.9,271.38100000000003,-0.27706836680322716
1949-11-01,,,,,6.4,270.627,-0.2778381684790089
1949-12-01,,,,,6.6,274.02733333333333,1.2564649252784539
1950-01-01,,,,,6.5,277.42766666666665,1.2408737814475885
1950-02-01,,,,,6.4,280.828,1.225664827949143
1950-03-01,,,,,6.3,284.013,1.1341461677610503
1950-04-01,,,,,5.8,287.198,1.1214275402886495
1950-05-01,,,,,5.5,290.383,1.108991009686698
1950-06-01,,,,,5.4,296.3063333333333,2.039834746983586
1950-07-01,,,,,5.0,302.2296666666667,1.9990572819345787
1950-08-01,,,,,4.5,308.153,1.9598781941768388
1950-09-01,,,,,4.4,312.08366666666666,1.2755568391891816
1950-10-01,,,,,4.2,316.01433333333335,1.2594913116247766
1950-11-01,,,,,4.2,319.945,1.243825438297621
1950-12-01,,,,,4.3,325.2966666666667,1.6726833257799583
1951-01-01,,,,,3.7,330.6483333333333,1.645164926374888
1951-02-01,,,,,3.4,336.0,1.6185373180972802
1951-03-01,,,,,3.4,338.69666666666666,0.8025793650793626
1951-04-01,,,,,3.1,341.3933333333333,0.7961893139387234
1951-05-01,,,,,3.0,344.09,0.7899002128532069
1951-06-01,,,,,3.2,346.52166666666665,0.7066949538395978
1951-07-01,,,,,3.1,348.9533333333333,0.7017358221948619
1951-08-01,,,,,3.1,351.385,0.6968458055518423
1951-09-01,,,,,3.3,352.98266666666666,0.4546769687569671
1951-10-01,,,,,3.5,354.58033333333333,0.4526190143425368
1951-11-01,,,,,3.5,356.178,0.4505796053738651
1951-12-01,,,,,3.1,357.392,0.3408408155472822
1952-01-01,,,,,3.2,358.606,0.3396830371133094
1952-02-01,,,,,3.1,359.82,0.3385330976057285
