,funds_rate,oil_price,CPI,GS3,unemployment_rate,GDP,economic_growth_rate
1986-01-01,8.144838709677419,22.925454545454546,3.88625592417063,8.41,6.7,4486.627333333334,0.4762586553292374
1986-02-01,7.86,15.433625000000001,3.1132075471698,8.1,7.2,4507.894,0.47400118366564625
1986-03-01,7.479032258064516,12.539285714285715,2.25563909774436,7.3,7.2,4520.376,0.27689204759472985
1986-04-01,6.988,12.843636363636364,1.59027128157157,6.86,7.1,4532.858,0.27612747258192616
1986-05-01,6.852903225806451,15.386022727272728,1.49114631873253,7.27,7.2,4545.34,0.27536710834533024
1986-06-01,6.916666666666667,13.425714285714285,1.76579925650557,7.41,7.2,4566.116333333333,0.45709085202280225
1986-07-01,6.557096774193549,11.583913043478262,1.57699443413728,6.86,7.0,4586.892666666667,0.45501103819153477
1986-08-01,6.170645161290322,15.096666666666666,1.57407407407406,6.49,6.9,4607.669,0.45295006539648497
1986-09-01,5.890333333333333,14.932045454545454,1.75438596491229,6.62,7.0,4624.321666666667,0.3614119561684411
1986-10-01,5.845806451612903,14.88641304347826,1.47194112235511,6.56,7.0,4640.974333333334,0.3601104738604944
1986-11-01,6.039333333333333,15.2105,1.28440366972477,6.46,6.9,4657.627,0.3588183314667512
1986-12-01,6.907741935483871,16.218,1.09789569990851,6.43,6.6,4679.136666666667,0.46181599914863974
1987-01-01,6.426451612903226,18.623181818181816,1.45985401459854,6.41,6.6,4700.646333333333,0.459693063036541
1987-02-01,6.101071428571428,17.751125,2.10430009149132,6.56,6.6,4722.156,0.45758955559232284
1987-03-01,6.128387096774193,18.313636363636363,3.03308823529411,6.58,6.6,4750.157333333334,0.5929777274053125
1987-04-01,6.365333333333334,18.673636363636362,3.77532228360957,7.32,6.3,4778.158666666666,0.5894822290798374
1987-05-01,6.852903225806451,19.437261904761904,3.85674931129477,8.02,6.3,4806.16,0.5860276999312763
1987-06-01,6.725,20.07318181818182,3.65296803652968,7.82,6.2,4832.291666666667,0.5437119585421025
1987-07-01,6.58225806451613,21.342173913043478,3.9269406392694,7.74,6.1,4858.423333333333,0.5407717180426721
1987-08-01,6.732258064516128,20.310952380952383,4.28441203281677,8.03,6.0,4884.555,0.5378631064810555
1987-09-01,7.216333333333334,19.529999999999998,4.35571687840289,8.67,5.9,4925.701333333333,0.8423762928932755
1987-10-01,7.288709677419354,19.85909090909091,4.53309156844969,8.75,6.0,4966.847666666667,0.8353395902201095
1987-11-01,6.693333333333333,18.843333333333334,4.52898550724636,7.99,5.8,5007.994,0.8284194743775404
1987-12-01,6.769677419354839,17.241739130434784,4.43438914027149,8.13,5.7,5029.786666666667,0.43515760335709613
1988-01-01,6.833870967741936,17.123214285714283,4.04676258992805,7.87,5.7,5051.579333333333,0.4332721864943164
1988-02-01,6.582758620689655,16.795714285714286,3.94265232974909,7.38,5.7,5073.372,0.4314030371227897
1988-03-01,6.575806451612903,16.197391304347825,3.92506690454951,7.5,5.7,5112.26,0.7665118978068219
1988-04-01,6.871666666666667,17.82452380952381,3.9041703637977,7.83,5.4,5151.148,0.7606811860116645
1988-05-01,7.086451612903226,17.423636363636362,3.89036251105217,8.24,5.6,5190.036,0.7549385107940971
1988-06-01,7.509,16.527727272727272,3.9647577092511,8.22,5.4,5220.969,0.5960074265380816
1988-07-01,7.754838709677419,15.476785714285715,4.13005272407734,8.44,5.4,5251.902,0.5924762242411321
1988-08-01,8.009032258064517,15.523478260869567,4.02097902097902,8.77,5.6,5282.835,0.5889866185621894
1988-09-01,8.193333333333333,14.535454545454543,4.17391304347826,8.57,5.4,5321.726333333333,0.7361830027500957
1988-10-01,8.296129032258065,13.770476190476192,4.24978317432784,8.43,5.4,5360.617666666667,0.7308029556073364
1988-11-01,8.345,14.141363636363637,4.24610051993069,8.72,5.3,5399.509,0.725500973053286
1988-12-01,8.76032258064516,16.405568181818182,4.41941074523398,9.11,5.3,5436.757,0.6898405021641707
1989-01-01,9.121290322580645,17.992045454545455,4.66724286949006,9.2,5.4,5474.005,0.6851143061939408
1989-02-01,9.36107142857143,17.936500000000002,4.82758620689656,9.32,5.2,5511.253,0.6804524292542589
